id,name,listing_url,picture_url,price,neighbourhood_cleansed,room_type,accommodates,bedrooms,bathrooms,mean_compound,n_reviews
887631574735905983,The Leo - Unit 602,https://www.airbnb.com/rooms/887631574735905983,https://a0.muscache.com/pictures/prohost-api/Hosting-887631574735905983/original/2ed86ad3-2eee-41b5-bb8d-ad48d77b0eaf.jpeg,121.0,East Village,Entire home/apt,4,1.0,1.0,0.715238961038961,77.0
887632352312104017,The Leo - One Bedroom Apartment w/ Private Balcony,https://www.airbnb.com/rooms/887632352312104017,https://a0.muscache.com/pictures/prohost-api/Hosting-887632352312104017/original/20fdb1f2-2ac5-4737-8d1d-b5914b763d51.jpeg,126.0,East Village,Entire home/apt,4,1.0,1.0,0.7024685393258427,89.0
887700267490982381,Colorful Dog-Friendly Villa | Walk to Beach,https://www.airbnb.com/rooms/887700267490982381,https://a0.muscache.com/pictures/prohost-api/Hosting-887700267490982381/original/339d3df0-8178-4f18-9a60-c0a5d553ce49.jpeg,616.0,Loma Portal,Entire home/apt,7,3.0,2.0,,
887823741897247700,House resort in Clairemont,https://www.airbnb.com/rooms/887823741897247700,https://a0.muscache.com/pictures/01d98e40-744c-4cb2-ab83-9cfda8f04197.jpg,76.0,Clairemont Mesa,Private room,1,6.0,2.0,0.9838,1.0
887889147817959841,"Cozy Casita | Outdoor Lounge, Walk to Beach & Pier",https://www.airbnb.com/rooms/887889147817959841,https://a0.muscache.com/pictures/prohost-api/Hosting-887889147817959841/original/3fe022dc-6835-4003-ab61-71d121cd87db.jpeg,328.0,Ocean Beach,Entire home/apt,6,2.0,1.0,0.77137,10.0
887955372039207275,#3265 - Beachfront -  W/Patio and Terrace,https://www.airbnb.com/rooms/887955372039207275,https://a0.muscache.com/pictures/prohost-api/Hosting-887955372039207275/original/8171e067-55c1-40aa-9d65-1279146fc364.jpeg,863.0,Mission Bay,Entire home/apt,7,4.0,2.0,,
888015041348151518,Cozy San Diego Escape,https://www.airbnb.com/rooms/888015041348151518,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODg4MDE1MDQxMzQ4MTUxNTE4/original/597cb3c5-5eb4-484a-a6a8-a7780145c17b.jpeg,563.0,Rancho Penasquitos,Entire home/apt,8,3.0,2.0,0.9599500000000001,2.0
888329024729748457,Oceanfront Boardwalk Condo - Spa & Ocean View,https://www.airbnb.com/rooms/888329024729748457,https://a0.muscache.com/pictures/prohost-api/Hosting-888329024729748457/original/d8b91ddb-077a-45c1-98b9-153bb6244fef.jpeg,509.0,Mission Bay,Entire home/apt,5,2.0,2.0,0.8191272727272728,11.0
888329109025687910,Massive 7BR La Jolla Estate | Ocean View | AC,https://www.airbnb.com/rooms/888329109025687910,https://a0.muscache.com/pictures/prohost-api/Hosting-888329109025687910/original/13aa4bd4-e12c-41e5-b5b0-ca7e03f7ec33.jpeg,1553.0,La Jolla,Entire home/apt,16,7.0,4.0,0.7984666666666667,3.0
888329132025008062,Mission Beach Bay Views Compound!,https://www.airbnb.com/rooms/888329132025008062,https://a0.muscache.com/pictures/prohost-api/Hosting-888329132025008062/original/ee7c8631-fff9-4ce2-ac60-44aa20628280.jpeg,1291.0,Mission Bay,Entire home/apt,13,5.0,3.0,0.8787,1.0
888436507405829350,Summer at The Ocean Awaits:beach+parking+pets!,https://www.airbnb.com/rooms/888436507405829350,https://a0.muscache.com/pictures/prohost-api/Hosting-888436507405829350/original/73a3491d-e244-49bd-b05e-685ecc28cc6d.jpeg,441.0,Pacific Beach,Entire home/apt,8,3.0,2.5,0.7666666666666667,9.0
